developer-agreement contribution,developer-agreement,contribution-purpose,amount,units,entry-date,start-date,end-date
DC/17/61140-da74-15,DC/17/61140-da,neighbourhood-community-infrastructure-levy,1904.28,,2019-11-29,2019-01-10,
DC/17/61140-da74-5,DC/17/61140-da,cil-administration costs,634.76,,2019-11-29,2019-01-10,
DC/17/61140-da75-80,DC/17/61140-da,community-infrastructure-levy,10156.14,,2019-11-29,2019-03-13,
DC/17/61140-da75-15,DC/17/61140-da,neighbourhood-community-infrastructure-levy,1904.28,,2019-11-29,2019-03-13,
DC/17/61140-da75-5,DC/17/61140-da,cil-administration costs,634.76,,2019-11-29,2019-03-13,
DC/17/61330-da78-80,DC/17/61330-da,community-infrastructure-levy,232.93,,2019-11-29,2018-11-21,
DC/17/61330-da78-15,DC/17/61330-da,neighbourhood-community-infrastructure-levy,43.67,,2019-11-29,2018-11-21,
DC/17/61330-da78-5,DC/17/61330-da,cil-administration costs,14.56,,2019-11-29,2018-11-21,
DC/17/61357-da79-80,DC/17/61357-da,community-infrastructure-levy,2089.67,,2019-11-29,2018-05-16,
DC/17/61357-da79-15,DC/17/61357-da,neighbourhood-community-infrastructure-levy,391.81,,2019-11-29,2018-05-16,
DC/17/61357-da79-5,DC/17/61357-da,cil-administration costs,130.61,,2019-11-29,2018-05-16,
DC/17/61366-da80-80,DC/17/61366-da,community-infrastructure-levy,2387.54,,2019-11-29,2018-04-05,
DC/17/61366-da80-15,DC/17/61366-da,neighbourhood-community-infrastructure-levy,447.66,,2019-11-29,2018-04-05,
DC/17/61366-da80-5,DC/17/61366-da,cil-administration costs,149.22,,2019-11-29,2018-04-05,
DC/18/61535-da81-80,DC/18/61535-da,community-infrastructure-levy,846.03,,2019-11-29,2018-09-20,
DC/18/61535-da81-15,DC/18/61535-da,neighbourhood-community-infrastructure-levy,158.63,,2019-11-29,2018-09-20,
DC/18/61535-da81-5,DC/18/61535-da,cil-administration costs,52.88,,2019-11-29,2018-09-20,
DC/18/61546-da82-80,DC/18/61546-da,community-infrastructure-levy,21597.00,,2019-11-29,2019-03-21,
DC/18/61546-da82-15,DC/18/61546-da,neighbourhood-community-infrastructure-levy,4049.44,,2019-11-29,2019-03-21,
DC/18/61546-da82-5,DC/18/61546-da,cil-administration costs,1349.81,,2019-11-29,2019-03-21,
DC/18/62034-da89-80,DC/18/62034-da,community-infrastructure-levy,3770.56,,2019-11-29,2019-03-01,
DC/18/62034-da89-15,DC/18/62034-da,neighbourhood-community-infrastructure-levy,706.98,,2019-11-29,2019-03-01,
DC/18/62034-da89-5,DC/18/62034-da,cil-administration costs,235.66,,2019-11-29,2019-03-01,
DC/18/62034-da90-80,DC/18/62034-da,community-infrastructure-levy,3770.56,,2019-11-29,2019-03-01,
DC/18/62034-da90-15,DC/18/62034-da,neighbourhood-community-infrastructure-levy,706.98,,2019-11-29,2019-03-01,
DC/18/62034-da90-5,DC/18/62034-da,cil-administration costs,235.66,,2019-11-29,2019-03-01,
DC/18/62278-da106-80,DC/18/62278-da,community-infrastructure-levy,1635.52,,2019-11-29,2019-03-08,
DC/18/62278-da106-15,DC/18/62278-da,neighbourhood-community-infrastructure-levy,306.66,,2019-11-29,2019-03-08,
DC/18/62278-da106-5,DC/18/62278-da,cil-administration costs,102.22,,2019-11-29,2019-03-08,
PD/15/00301-da115-80,PD/15/00301-da,community-infrastructure-levy,16892.00,,2019-11-29,2018-11-14,
PD/15/00301-da115-15,PD/15/00301-da,neighbourhood-community-infrastructure-levy,3167.25,,2019-11-29,2018-11-14,
PD/15/00301-da115-5,PD/15/00301-da,cil-administration costs,1055.75,,2019-11-29,2018-11-14,
PD/15/00301-da116-80,PD/15/00301-da,community-infrastructure-levy,676.46,,2019-11-29,2019-03-13,
PD/15/00301-da116-15,PD/15/00301-da,neighbourhood-community-infrastructure-levy,126.84,,2019-11-29,2019-03-13,
PD/15/00301-da116-5,PD/15/00301-da,cil-administration costs,42.28,,2019-11-29,2019-03-13,
PD/15/00339-da117-80,PD/15/00339-da,community-infrastructure-levy,3456.00,,2019-11-29,2018-06-07,
PD/15/00339-da117-15,PD/15/00339-da,neighbourhood-community-infrastructure-levy,648.00,,2019-11-29,2018-06-07,
PD/15/00339-da117-5,PD/15/00339-da,cil-administration costs,216.00,,2019-11-29,2018-06-07,
PD/15/00339-da118-80,PD/15/00339-da,community-infrastructure-levy,105.58,,2019-11-29,2018-12-20,
PD/15/00339-da118-15,PD/15/00339-da,neighbourhood-community-infrastructure-levy,19.80,,2019-11-29,2018-12-20,
PD/15/00339-da118-5,PD/15/00339-da,cil-administration costs,6.60,,2019-11-29,2018-12-20,
PD/17/00694-da123-80,PD/17/00694-da,community-infrastructure-levy,23724.02,,2019-11-29,2018-04-19,
PD/17/00694-da123-15,PD/17/00694-da,neighbourhood-community-infrastructure-levy,4448.25,,2019-11-29,2018-04-19,
PD/17/00694-da123-5,PD/17/00694-da,cil-administration costs,1482.76,,2019-11-29,2018-04-19,
PD/17/00836-da125-80,PD/17/00836-da,community-infrastructure-levy,2820.10,,2019-11-29,2018-05-24,
PD/17/00836-da125-15,PD/17/00836-da,neighbourhood-community-infrastructure-levy,528.77,,2019-11-29,2018-05-24,
PD/17/00836-da125-5,PD/17/00836-da,cil-administration costs,176.25,,2019-11-29,2018-05-24,
PD/17/00836-da126-80,PD/17/00836-da,community-infrastructure-levy,2820.09,,2019-11-29,2018-05-24,
PD/17/00836-da126-15,PD/17/00836-da,neighbourhood-community-infrastructure-levy,528.77,,2019-11-29,2018-05-24,
PD/17/00836-da126-5,PD/17/00836-da,cil-administration costs,176.25,,2019-11-29,2018-05-24,
DC/17/61372-da-s106-1,DC/17/61372-da-s106,Other,5000.00,,2019-11-29,2018-05-15,2018-11-14
DC/13/56501&DC/12/55397-da-s106-1,DC/13/56501&DC/12/55397-da-s106,Open space,13168.90,,2019-11-29,2018-10-11,
